Index,Name,Flags,Menu Desc,Item Desc,Type,FP,BP,Minigame,Ability,Name,Desc
00,0000-0000,00000000,0000-0000,0000-0000,00,00,00,FF,,null,*These three are in the move script table
01,0000-0000,00000002,0000-0000,0000-0000,00,00,00,FF,,null,was Unused ( ability 1)
02,0000-0000,00000008,0000-0000,0000-0000,00,00,00,FF,,null,
03,001D-0038,00013005,0023-00A3,0000-0000,01,00,00,01,,Hammer Lv1,
04,001D-0038,00013005,0023-00A4,0023-00A4,01,00,00,01,,Hammer Lv2,
05,001D-0038,00013005,0023-00A5,0023-00A5,01,00,00,01,,Hammer Lv3,
06,001D-0038,00013005,0000-0000,0000-0000,01,00,00,01,,Hammer,
07,0000-0000,00013005,0000-0000,0000-0000,01,00,00,01,,a,
08,002A-0010,00013005,0023-0068,0025-0068,01,01,01,01,,Spin Smash,
09,002A-0012,00008020,0023-006A,0025-006A,01,03,01,01,,Quake Hammer,
0A,002A-0011,00013005,0023-0069,0025-0069,01,04,02,01,,D-Down Pound,
0B,002F-0076,00000008,002F-0015,002F-0015,01,0A,03,FF,,Smash Charge 0,
0C,001D-0038,00055001,0000-0000,0000-0000,01,00,00,01,,Hammer,
0D,002A-000E,00000003,0023-0066,0025-0066,01,02,01,01,,Hammer Throw,
0E,002A-0014,00008020,0023-006C,0025-006C,01,07,03,01,,Mega Quake,
0F,002A-000C,00000008,0023-0064,0025-0064,01,02,01,FF,,Smash Charge,
10,001D-0038,00054001,0023-0064,0025-0064,01,00,00,01,,Hammer,
11,002A-000D,00000008,0023-0065,0025-0065,01,04,02,FF,,Super Smash Charge,
12,001D-0038,00055001,0023-0065,0025-0065,01,00,00,01,,Hammer,
13,002F-0008,00013005,002F-0009,002F-000A,01,04,02,01,,Auto Smash,
14,002A-0013,00008020,0023-006B,0025-006B,01,05,02,01,,Power Quake,
15,002A-000A,00013005,0023-0062,0025-0062,01,02,01,01,,Power Smash,
16,002F-0035,00000003,002F-0037,002F-0037,01,05,02,01,,Super Smash,
17,002A-000B,00013005,0023-0063,0025-0063,01,09,03,01,,Mega Smash,
18,002A-000F,00000003,0023-0067,0025-0067,01,06,03,01,,Shrink Smash,
19,002F-003D,00013005,002F-003E,002F-003F,01,08,03,01,,Shell Crack,
1A,001D-0039,00054881,0023-00A0,0023-00A0,02,00,00,00,,Jump Lv1,
1B,001D-0039,00054881,0023-00A1,0023-00A1,02,00,00,00,,Jump Lv2,
1C,001D-0039,00054881,0023-00A2,0023-00A2,02,00,00,00,,Jump Lv3,
1D,001D-0039,00054881,0000-0000,0000-0000,02,00,00,00,,Jump,
1E,001D-0039,00054881,0000-0000,0000-0000,02,00,00,00,,Jump,
1F,002A-0006,0004C880,0023-005E,0025-005E,02,02,01,00,,Multibounce,
20,002A-0009,00054881,0023-0061,0025-0061,02,06,02,00,,Power Bounce,
21,002A-0004,00054881,0023-005C,0025-005C,02,04,01,00,,Sleep Stomp,
22,002A-0005,00054881,0023-005D,0025-005D,02,04,01,00,,Dizzy Stomp,
23,002F-0076,00000808,002F-0021,002F-0021,02,0C,03,FF,,Jump Charge 0,
24,001D-0039,00054881,0000-0000,0000-0000,02,01,01,00,,Jump,
25,002A-0002,00000808,0023-005A,0025-005A,02,03,01,FF,,Jump Charge,
26,001D-0039,00054881,0023-005A,0025-005A,02,00,00,00,,Jump,
27,002A-0003,00000808,0023-005B,0025-005B,02,05,02,FF,,Super Jump Charge,
28,001D-0039,00054881,0023-005B,0025-005B,02,00,00,00,,Jump,
29,002F-0006,00054881,002F-0007,002F-000B,02,07,02,00,,Auto Jump,
2A,002F-004F,00054881,002F-0050,002F-0051,02,0A,02,00,,Auto Multibounce,
2B,002A-0000,00054881,0023-0058,0025-0058,02,02,01,00,,Power Jump,
2C,002F-0049,00054881,002F-004A,002F-004B,02,07,02,00,,Super Jump,
2D,002A-0001,00054881,0023-0059,0025-0059,02,09,03,00,,Mega Jump,
2E,002A-0008,00054881,0023-0060,0025-0060,02,04,02,00,,D-Down Jump,
2F,002A-0007,00054881,0023-005F,0025-005F,02,04,01,00,,Shrink Stomp,
30,002F-003A,00008020,002F-003C,002F-003B,02,12,03,00,,Earthquake Jump,
31,0000-0000,00010005,0023-0074,0025-0074,03,00,01,FF,,Defend Plus,*now mega saver
32,0000-0000,00000008,0000-0000,0000-0000,03,00,03,FF,Unused,a,*now mega shield
33,0026-0075,00000008,0023-0075,0025-0075,03,00,03,FF,DamageDodge,Damage Dodge,51
34,001D-003F,00010005,001D-00A4,0000-0000,04,00,00,FF,,Items,
35,002A-0015,00000000,0023-006D,0025-006D,04,05,01,FF,DoubleDip,Double Dip,5
36,002A-0016,00000000,0023-006E,0025-006E,04,0A,03,FF,,Triple Dip,
37,80098A04,00000000,0000-0000,0000-0000,05,00,02,FF,,~Usually,*stellar burst
38,002A-0018,00000000,0023-0070,0025-0070,05,00,04,FF,QuickChange,Quick Change,26
39,80098A04,00010005,0000-0000,0000-0000,06,00,03,FF,,~Usually,*stellar power
3A,80098A04,00000000,0000-0000,0000-0000,07,00,03,FF,,~Usually,*stellar shield
3B,0026-0073,00000000,0023-0073,0025-0073,07,00,04,FF,PowerPlus,Power Plus,28
3C,0026-0093,00000000,0023-0093,0025-0093,07,00,04,FF,AllOrNothing,All or Nothing,10
3D,0026-0095,00000000,0023-0095,0025-0095,07,00,02,FF,IcePower,Ice Power,13
3E,002A-0019,00000000,0023-0076,0025-0076,07,00,02,FF,PUpDDown,P-Up & D-Down,34
3F,0000-0000,00000000,0000-0000,0000-0000,08,00,02,FF,,~Usually,*dark saver
40,0026-007F,00000000,0023-007F,0025-007F,08,00,02,FF,SpikeShield,Spike Shield,2
41,0026-0097,00000000,0023-0097,0025-0097,08,00,02,FF,FireShield,Fire Shield,7
42,0026-0081,00000000,0023-0081,0025-0081,08,00,02,FF,PrettyLucky,Pretty Lucky,8
43,0026-008C,00000000,0023-008C,0025-008C,08,00,04,FF,FeelingFine,Feeling Fine,14
44,0026-0099,00000000,0023-0099,0025-0099,08,00,04,FF,ZapTap,Zap Tap,19
45,0026-0074,00000000,0023-0074,0025-0074,08,00,04,FF,DefendPlus,Defend Plus,27
46,0000-0000,00000000,0023-0085,0025-0085,08,00,01,FF,LastStand,Last Stand,32
47,0000-0000,00000000,0023-0083,0025-0083,08,00,01,FF,CloseCall,Close Call,33
48,0000-0000,00000000,0023-0082,0025-0082,08,00,08,FF,LuckyDay,Lucky Day,35
49,002A-001A,00000000,0023-0077,0025-0077,08,00,02,FF,PDownDUp,P-Down & D-Up,37
4A,0000-0000,00000000,0000-0000,0000-0000,08,00,01,FF,HealthyHealthy,Healthy Healthy,55
4B,80098A04,00000000,0000-0000,0000-0000,09,00,03,FF,,~Usually,*dark power
4C,0026-0080,00000000,0023-0080,0025-0080,09,00,01,FF,DodgeMaster,Dodge Master,0
4D,0026-0087,00000000,0023-0087,0025-0087,09,00,01,FF,FirstAttack,First Attack,3
4E,0026-0094,00000000,0023-0094,0025-0094,09,00,00,FF,SlowGo,Slow Go,11
4F,0026-009B,00000000,0023-009B,0025-009B,09,00,01,FF,RightOn,Right On!,22
50,0000-0000,00000000,0023-0088,0025-0088,09,00,00,FF,BumpAttack,Bump Attack,42
51,80098A04,00010005,0000-0000,0000-0000,00,00,04,FF,,~Usually,*dark shield
52,0026-0071,00010005,0023-0071,0025-0071,00,00,03,FF,HPPlus,HP Plus,4
53,0000-0000,00000002,0000-0000,0000-0000,00,00,04,FF,MysteryScroll,Mystery Scroll,6 *stellar flowers
54,0026-008D,00000002,0023-008D,0025-008D,00,00,00,FF,AttackFX,Attack FX A,15
55,0026-008E,00000002,0023-008E,0025-008E,00,00,00,FF,AttackFX,Attack FX D,
56,0026-008F,00000002,0023-008F,0025-008F,00,00,00,FF,AttackFX,Attack FX B,
57,0026-0090,00000002,0023-0090,0025-0090,00,00,00,FF,AttackFX,Attack FX E,
58,0026-0091,00000002,0023-0091,0025-0091,00,00,00,FF,AttackFX,Attack FX C,
59,0026-0092,00000002,0023-0092,0025-0092,00,00,00,FF,AttackFX,Attack FX F,
5A,0026-0078,00000002,0023-0078,0025-0078,00,00,03,FF,HPDrain,HP Drain,9
5B,0026-0072,00000002,0023-0072,0025-0072,00,00,03,FF,FPPlus,FP Plus,12
5C,0026-009A,00000002,0023-009A,0025-009A,00,00,00,FF,MoneyMoney,Money Money,16
5D,0026-0098,00000002,0023-0098,0025-0098,00,00,03,FF,ChillOut,Chill Out,17
5E,0026-0079,00000002,0023-0079,0025-0079,00,00,02,FF,HappyHeart,Happy Heart,18
5F,0026-0086,00000002,0023-0086,0025-0086,00,00,01,FF,MegaRush,Mega Rush,20
60,0000-0000,00000002,0000-0000,0000-0000,00,00,00,FF,Berserker,Berserker,21
61,0026-009C,00000002,0023-009C,0025-009C,00,00,02,FF,RunawayPay,Runaway Pay,23 *flower power
62,0026-007B,00000002,0023-007B,0025-007B,00,00,06,FF,FlowerSaver,Flower Saver,24
63,0026-0096,00000002,0023-0096,0025-0096,00,00,02,FF,PayOff,Pay-Off,25
64,0000-0000,00000002,0023-0084,0025-0084,00,00,01,FF,PowerRush,Power Rush,30
65,0000-0000,00000002,0000-0000,0000-0000,00,00,05,FF,CrazyHeart,Crazy Heart,31
66,0000-0000,00000002,0000-0000,0000-0000,00,00,05,FF,MegaHPDrain,Mega HP Drain,36
67,0000-0000,00000002,0000-0000,0000-0000,00,00,08,FF,FlowerFanatic,Flower Fanatic,38
68,0000-0000,00000002,0023-007C,0025-007C,00,00,03,FF,HeartFinder,Heart Finder,43
69,0000-0000,00000002,0023-007D,0025-007D,00,00,03,FF,FlowerFinder,Flower Finder,44
6A,0000-0000,00000002,0023-0089,0025-0089,00,00,01,FF,SpinAttack,Spin Attack,40
6B,0000-0000,00000002,0023-008A,0025-008A,00,00,02,FF,DizzyAttack,Dizzy Attack,45
6C,0000-0000,00000002,0023-009E,0025-009E,00,00,00,FF,ISpy,I Spy,41
6D,0000-0000,00000002,0023-008B,0025-008B,00,00,00,FF,SpeedySpin,Speedy Spin,39
6E,0026-009D,00000002,0023-009D,0025-009D,00,00,01,FF,Refund,Refund,29
6F,800989F0,00000002,0000-0000,0000-0000,00,00,04,FF,FinalBombomb,~Final Old Man Goomba,47
70,800989DC,00000002,0000-0000,0000-0000,00,00,02,FF,FinalGoompa,~Final Bomb-omb,46
71,0026-007E,00000002,0023-007E,0025-007E,00,00,01,FF,DeepFocus,Deep Focus,48
72,002F-006A,00000002,002F-006C,002F-006B,00,00,00,FF,SuperFocus,Super Focus,49
73,0000-0000,80000000,0000-0000,0000-0000,00,00,01,FF,Kaiden,Kaiden,50
74,0026-007A,00000002,0023-007A,0025-007A,00,00,02,FF,HappyFlower,Happy Flower,52
75,0026-006F,00000002,0023-006F,0025-006F,00,00,02,FF,GroupFocus,Group Focus,53
76,0026-009F,00000002,0023-009F,0025-009F,00,00,00,FF,Peekaboo,Peekaboo,54
77,001D-0014,80000000,001D-0020,0000-0000,0A,00,00,FF,,Focus,
78,001D-0015,00000008,001D-0021,0000-0000,0A,01,01,FF,,Refresh,
79,001D-0016,00008002,001D-0022,0000-0000,0A,01,01,FF,,Lullaby,
7A,001D-0017,00008002,001D-0023,0000-0000,0A,03,03,FF,,Star Storm,
7B,001D-0018,00008002,001D-0024,0000-0000,0A,03,03,FF,,Chill Out,
7C,001D-0019,00000008,001D-0025,0000-0000,0A,02,02,FF,,Smooch,
7D,001D-001A,00008002,001D-0026,0000-0000,0A,02,02,FF,,Time Out,
7E,001D-001B,00008002,001D-0027,0000-0000,0A,04,05,FF,,Up & Away,
7F,001D-001C,00008002,001D-0028,0000-0000,0A,00,00,FF,,Star Beam,
80,001D-001D,00008002,001D-0029,0000-0000,0A,00,00,FF,,Peach Beam,
81,001D-001E,00000100,001D-0020,0000-0000,0A,00,00,FF,,Focus,
82,001D-001F,00008003,001D-0020,0000-0000,0A,00,00,FF,,Dash,
83,002B-0000,00054881,0028-0002,0028-0007,0B,00,00,02,,Headbonk,
84,002B-0000,00054881,0028-0002,0028-0008,0B,00,00,02,,Headbonk,
85,002B-0000,00054881,0028-0002,0028-0009,0B,00,00,02,,Headbonk,
86,002B-0001,00038003,0028-0003,0028-000A,0B,00,00,FF,,Tattle,
87,002B-0002,00000100,0028-0004,0028-000B,0B,03,00,FF,,Charge,
88,002B-0003,00054881,0028-0005,0028-000C,0B,08,00,02,,Multibonk,
89,002B-0004,00012005,0028-000F,0028-0014,0B,00,00,01,,Shell Toss,
8A,002B-0004,00012005,0028-0015,0028-0015,0B,00,00,01,,Shell Toss,
8B,002B-0004,00012005,0028-0016,0028-0016,0B,00,00,01,,Shell Toss,
8C,002B-0005,00008004,0028-0010,0028-0017,0B,02,00,01,,Power Shell,
8D,002B-0006,00008004,0028-0011,0028-0018,0B,04,00,03,,Dizzy Shell,
8E,002B-0007,00008004,0028-0012,0028-0019,0B,05,00,04,,Fire Shell,
8F,002B-0008,00012005,0028-001C,0028-0021,0B,00,00,0F,,Body Slam,
90,002B-0008,00012005,0028-0022,0028-0022,0B,00,00,0F,,Body Slam,
91,002B-0008,00012005,0028-0023,0028-0023,0B,00,00,0F,,Body Slam,
92,002B-0009,00012005,0028-001D,0028-0024,0B,03,00,03,,Bomb,
93,002B-000A,00008004,0028-001E,0028-0025,0B,06,00,03,,Power Bomb,
94,002B-000B,00008002,0028-001F,0028-0026,0B,06,00,03,,Mega Bomb,
95,002B-000C,00010003,0028-0029,0028-002E,0B,00,00,00,,Sky Dive,
96,002B-000C,00010003,0028-002F,0028-002F,0B,00,00,00,,Sky Dive,
97,002B-000C,00010003,0028-0030,0028-0030,0B,00,00,00,,Sky Dive,
98,002B-000D,00010003,0028-002A,0028-0031,0B,04,00,05,,Shell Shot,
99,002B-000E,00008403,0028-002B,0028-0032,0B,05,00,03,,Air Lift,
9A,002B-000F,00008002,0028-002C,0028-0033,0B,06,00,04,,Air Raid,
9B,800989D0,00000003,0000-0000,0000-0000,0B,00,00,00,,~Stupify,*Looks like the 5th set of partner moves is basically ignored since this is actually Goompa's partner slot
9C,800989D0,00000003,0000-0000,0000-0000,0B,00,00,00,,~Stupify,*Bow is at the end because she is the 9th partner slot
9D,800989D0,00000003,0000-0000,0000-0000,0B,00,00,00,,~Stupify,*not sure if modifying these will break stuff
9E,800989C0,00000004,0000-0000,0000-0000,0B,00,00,00,,~Mumble,
9F,800989B4,00000003,0000-0000,0000-0000,0B,00,00,00,,~Preach,*now Mega Curse
A0,800989A8,00000003,0000-0000,0000-0000,0B,00,00,00,,~Megaphone,
A1,002B-0014,00000003,0028-0043,0028-0048,0B,00,00,0F,,Electro Dash,
A2,002B-0014,00000003,0028-0043,0028-0049,0B,00,00,0F,,Electro Dash,
A3,002B-0014,00000003,0028-0043,0028-004A,0B,00,00,0F,,Electro Dash,
A4,002B-0015,00000003,0028-0044,0028-004B,0B,02,00,03,,Power Shock,
A5,002B-0016,00000008,0028-0045,0028-004C,0B,03,00,0A,,Turbo Charge,
A6,002B-0017,00000003,0028-0046,0028-004D,0B,07,00,0C,,Mega Shock,
A7,002B-0018,00054881,0028-0050,0028-0055,0B,00,00,01,,Belly Flop,
A8,002B-0018,00054881,0028-0056,0028-0056,0B,00,00,01,,Belly Flop,
A9,002B-0018,00054881,0028-0057,0028-0057,0B,00,00,01,,Belly Flop,
AA,002B-0019,00000003,0028-0051,0028-0058,0B,04,00,0E,,Squirt,
AB,002B-001A,00000008,0028-0052,0028-0059,0B,05,00,0A,,Water Block,
AC,002B-001B,00008002,0028-0053,0028-005A,0B,09,00,08,,Tidal Wave,
AD,002B-001C,00000003,0028-005D,0028-0062,0B,00,00,10,,Spiny Flip,
AE,002B-001C,00000003,0028-005D,0028-0063,0B,00,00,10,,Spiny Flip,
AF,002B-001C,00000003,0028-005D,0028-0064,0B,00,00,10,,Spiny Flip,
B0,002B-001D,00008002,0028-005E,0028-0065,0B,03,00,04,,Spiny Surge,
B1,002B-001E,00000008,0028-005F,0028-0066,0B,07,00,0A,,Cloud Nine,
B2,002B-001F,00008002,0028-0060,0028-0067,0B,07,00,0C,,Hurricane,
B3,002B-0010,00000003,0028-0036,0028-003B,0B,00,00,04,,Smack,
B4,002B-0010,00000003,0028-0036,0028-003C,0B,00,00,04,,Smack,
B5,002B-0010,00000003,0028-0036,0028-003D,0B,00,00,04,,Smack,
B6,002B-0011,00000008,0028-0037,0028-003E,0B,03,00,FF,,Outta Sight,
B7,002B-0012,00008002,0028-0038,0028-003F,0B,07,00,04,,Spook,
B8,002B-0013,00000003,0028-0039,0028-0040,0B,06,00,04,,Fan Smack,
B9,002B-0020,00000003,0028-006A,0028-006F,0B,00,00,10,,Magic Blast,
BA,002B-0020,00000003,0028-006A,0028-0070,0B,00,00,10,,Magic Blast,
BB,002B-0020,00000003,0028-006A,0028-0071,0B,00,00,10,,Magic Blast,
BC,002B-0021,00000003,0028-006B,0028-0072,0B,05,00,05,,Power Beam,
BD,002B-0022,00000008,0028-006C,0028-0073,0B,06,00,0A,,Rejuvinate,
BE,002B-0023,00000008,0028-006D,0028-0074,0B,0A,00,0E,,Hustle Spell,
BF,002B-0010,00000003,0028-0036,0028-003B,0B,00,00,04,,unused,
C0,002B-0010,00000003,0028-0036,0028-003C,0B,00,00,04,,unused,
C1,002B-0010,00000003,0028-0036,0028-003D,0B,00,00,04,,unused,
C2,002B-0011,00000008,0028-0037,0028-003E,0B,03,00,FF,,unused,
C3,002B-0012,00008002,0028-0038,0028-003F,0B,07,00,04,,unused,
C4,002B-0013,00000003,0028-0039,0028-0040,0B,06,00,04,,unused,
